Data ,,,,,,,,,
,,,,,,,,,
"Every combination are attributed 9 lines. Line 1 is 100% the indicated defect, the the fraction changes to 100% the defect in the 9th line trough the fractions 12.5%, 25%, 37.5%, 50%, 62.5%, 75%, and 87.5%",,,,,,,,,
,,,,,,,,,
Et range,0,1.125,eV,,,,,,
k range,0.001,1000,-,,,,,,
tau_p0 range,1E-13,0.001,s,,,,,,
,,,,,,,,,
points Et,point k,points tau_p0,,,,,,,
200,200,700,,,,,,,
,,,,,,,,,
,Defect 1,Defect 2,Max_Et,Min_Et,Max_k,Min_k,Min ARV,Et,k
1,Au,,0.898869347,0.503140704,0.128989026,0.001,0.092731544,0.570979899,0.01722586
2,Au,CuI,0.961055276,0.457914573,0.112266777,0.001,3.446206987,0.932788945,0.001414991
3,Au,CuI,0.989321608,0.831030151,0.036969127,0.001,5.379920202,0.966708543,0.001320088
4,Au,CuI,1.011934673,0.910175879,0.009884959,0.001,5.896348567,0.983668342,0.001516717
5,Au,CuI,1.023241206,0.915829146,0.01304902,0.001,6.244828542,0.989321608,0.001867914
6,CuI,Au,1.023241206,0.910175879,0.021214518,0.001231551,5.851015868,0.978015075,0.003739937
7,CuI,Au,1.000628141,0.904522613,0.034489623,0.003036771,4.803318398,0.949748744,0.009884959
8,CuI,Au,0.972361809,0.89321608,0.052310993,0.008026434,2.856430981,0.932788945,0.019791669
9,CuI,,0.932788945,0.881909548,0.097712415,0.026126752,1.007581468,0.904522613,0.056071699
10,Au,,0.898869347,0.503140704,0.128989026,0.001,0.092731544,0.570979899,0.01722586
11,Au,CuII,0.61620603,0.407035176,16.63816886,12.6038293,1.597868013,0.610552764,14.48118228
12,Au,CuII,0.61620603,0.40138191,16.63816886,13.50993521,1.018791966,0.610552764,15.52225357
13,Au,CuII,0.61620603,0.40138191,16.63816886,14.48118228,0.709664698,0.610552764,15.52225357
14,Au,CuII,0.61620603,0.40138191,17.83430877,14.48118228,0.846996316,0.610552764,15.52225357
15,CuII,Au,0.61620603,0.40138191,17.83430877,14.48118228,1.015576368,0.610552764,15.52225357
16,CuII,Au,0.61620603,0.40138191,19.11644075,14.48118228,1.117659786,0.610552764,15.52225357
17,CuII,Au,0.61620603,0.40138191,19.11644075,14.48118228,1.216284138,0.610552764,15.52225357
18,CuII,,0.61620603,0.40138191,19.11644075,14.48118228,1.204152247,0.610552764,15.52225357
19,Au,,0.898869347,0.503140704,0.128989026,0.001,0.092731544,0.570979899,0.01722586
20,Au,DefectX,0.650125628,0.486180905,0.965883224,0.636824994,0.590336655,0.570979899,0.840665289
21,Au,DefectX,0.638819095,0.491834171,1.035321843,0.784282206,0.307414925,0.565326633,0.901101825
22,Au,DefectX,0.644472362,0.491834171,1.109752496,0.784282206,0.785454603,0.565326633,0.901101825
23,Au,DefectX,0.638819095,0.491834171,1.189534067,0.784282206,0.70602677,0.565326633,0.965883224
24,DefectX,Au,0.638819095,0.491834171,1.189534067,0.784282206,0.621446852,0.565326633,0.965883224
25,DefectX,Au,0.638819095,0.491834171,1.189534067,0.840665289,0.686763876,0.565326633,0.965883224
26,DefectX,Au,0.638819095,0.491834171,1.189534067,0.840665289,0.684359509,0.565326633,0.965883224
27,DefectX,,0.638819095,0.491834171,1.189534067,0.840665289,0.554254017,0.565326633,1.035321843
28,Au,,0.898869347,0.503140704,0.128989026,0.001,0.092731544,0.570979899,0.01722586
29,Au,Mo,0.299623116,0.27701005,35.70785965,17.83430877,3.620214783,0.288316583,23.54286414
30,Au,Mo,0.288316583,0.271356784,38.27494479,21.96385372,1.705899956,0.282663317,27.0495973
31,Au,Mo,0.288316583,0.271356784,38.27494479,21.96385372,1.493081136,0.282663317,27.0495973
32,Au,Mo,0.288316583,0.260050251,54.15871378,21.96385372,1.580698161,0.282663317,27.0495973
33,Mo,Au,0.288316583,0.265703518,47.13753134,23.54286414,1.387407125,0.27701005,33.31294788
34,Mo,Au,0.288316583,0.271356784,41.02658106,23.54286414,1.254642319,0.27701005,33.31294788
35,Mo,Au,0.288316583,0.271356784,41.02658106,23.54286414,1.191243827,0.27701005,33.31294788
36,Mo,,0.282663317,0.260050251,50.52631065,27.0495973,1.313277677,0.27701005,33.31294788
37,Au,,0.898869347,0.503140704,0.128989026,0.001,0.092731544,0.570979899,0.01722586
38,Au,PtI,0.927135678,0.480527638,0.138262217,0.001,0.997206234,0.876256281,0.001148951
39,Au,PtI,0.944095477,0.463567839,0.148202071,0.001,2.169748862,0.910175879,0.001231551
40,Au,PtI,0.961055276,0.457914573,0.120337784,0.001,3.418652833,0.932788945,0.001320088
41,Au,PtI,0.978015075,0.791457286,0.079340967,0.001,4.560162329,0.966708543,0.001
42,PtI,Au,0.994974874,0.836683417,0.039626886,0.001,5.965268951,0.983668342,0.001
43,PtI,Au,1.01758794,0.870603015,0.030018358,0.001,7.156217309,0.966708543,0.002833096
44,PtI,Au,0.994974874,0.859296482,0.091158883,0.002833096,7.505062239,0.915829146,0.019791669
45,PtI,,0.322236181,0.316582915,0.318062569,0.001,1.770621057,0.322236181,0.001867914
46,Au,,0.898869347,0.503140704,0.128989026,0.001,0.092731544,0.570979899,0.01722586
47,Au,PtII,0.079145729,0.067839196,932.9304026,659.3188271,15.40751218,0.073492462,932.9304026
48,Au,PtII,0.118718593,0.096105528,405.5460736,143.1458938,12.75747435,0.10741206,249.4508135
49,Au,PtII,0.146984925,0.118718593,143.1458938,58.05225516,10.05734207,0.130025126,94.37878278
50,Au,PtII,0.163944724,0.135678392,71.49428987,31.07866188,7.662638879,0.146984925,47.13753134
51,PtII,Au,0.175251256,0.152638191,35.70785965,19.11644075,5.804413186,0.163944724,25.2353917
52,PtII,Au,0.887562814,0.16959799,23.54286414,0.636824994,4.792511048,0.175251256,16.63816886
53,PtII,Au,0.898869347,0.186557789,10.96985798,0.682607183,3.253955292,0.881909548,0.901101825
54,PtII,,0.887562814,0.248743719,1.275051241,0.784282206,1.10933105,0.876256281,1.189534067
55,Au,,0.898869347,0.503140704,0.128989026,0.001,0.092731544,0.570979899,0.01722586
56,Au,Ti,0.197864322,0.158291457,101.163798,23.54286414,17.3373235,0.175251256,54.15871378
57,Au,Ti,0.237437186,0.197864322,23.54286414,5.872786613,16.71838102,0.209170854,15.52225357
58,Au,Ti,0.84798995,0.831030151,10.96985798,4.768611698,14.11980376,0.836683417,6.747544053
59,Au,Ti,0.853643216,0.831030151,17.83430877,6.29498899,9.525692728,0.836683417,8.907354639
60,Ti,Au,0.853643216,0.836683417,23.54286414,8.309941949,6.244333126,0.842336683,12.6038293
61,Ti,Au,0.84798995,0.836683417,23.54286414,10.23411402,3.549075512,0.842336683,14.48118228
62,Ti,Au,0.84798995,0.836683417,38.27494479,12.6038293,1.925772825,0.842336683,14.48118228
63,Ti,,0.84798995,0.836683417,31.07866188,14.48118228,0.864182313,0.842336683,17.83430877
64,Au,,0.898869347,0.503140704,0.128989026,0.001,0.092731544,0.570979899,0.01722586
65,Au,Zn,1.011934673,0.780150754,0.419870708,0.001231551,8.587756535,0.910175879,0.013987131
66,Au,Zn,0.932788945,0.797110553,0.48241087,0.014992684,7.02630836,0.825376884,0.240940356
67,Au,Zn,0.876256281,0.802763819,0.517092024,0.079340967,4.608595625,0.825376884,0.296730241
68,Au,Zn,0.853643216,0.814070352,0.517092024,0.170276917,2.815097116,0.825376884,0.365438307
69,Zn,Au,0.84798995,0.33919598,0.636824994,0.20970464,2.177662986,0.825376884,0.391710149
70,Zn,Au,0.842336683,0.333542714,0.731680714,0.128989026,2.376369345,0.333542714,0.318062569
71,Zn,Au,0.831030151,0.327889447,0.517092024,0.091158883,1.574409874,0.333542714,0.318062569
72,Zn,,0.333542714,0.327889447,0.636824994,0.148202071,1.757902789,0.327889447,0.340928507
73,CuI,,0.932788945,0.881909548,0.097712415,0.026126752,1.007581468,0.904522613,0.056071699
74,CuI,CuII,0.627512563,0.395728643,17.83430877,11.75849554,3.906959639,0.61620603,13.50993521
75,CuI,CuII,0.621859296,0.395728643,17.83430877,13.50993521,2.175942448,0.610552764,14.48118228
76,CuI,CuII,0.621859296,0.40138191,16.63816886,13.50993521,1.198996629,0.610552764,15.52225357
77,CuI,CuII,0.61620603,0.40138191,16.63816886,14.48118228,0.870059774,0.610552764,15.52225357
78,CuII,CuI,0.61620603,0.40138191,17.83430877,14.48118228,0.908390554,0.610552764,15.52225357
79,CuII,CuI,0.61620603,0.40138191,17.83430877,14.48118228,1.038439253,0.610552764,15.52225357
80,CuII,CuI,0.61620603,0.40138191,19.11644075,14.48118228,1.166461244,0.610552764,15.52225357
81,CuII,,0.61620603,0.40138191,19.11644075,14.48118228,1.204152247,0.610552764,15.52225357
82,CuI,,0.932788945,0.881909548,0.097712415,0.026126752,1.007581468,0.904522613,0.056071699
83,CuI,DefectX,0.717964824,0.435301508,1.035321843,0.391710149,6.934264724,0.689698492,0.636824994
84,CuI,DefectX,0.689698492,0.452261307,1.189534067,0.517092024,4.019603304,0.650125628,0.901101825
85,CuI,DefectX,0.667085427,0.463567839,1.189534067,0.731680714,2.209020125,0.627512563,0.965883224
86,CuI,DefectX,0.655778894,0.474874372,1.189534067,0.784282206,1.253455639,0.610552764,0.965883224
87,DefectX,CuI,0.650125628,0.480527638,1.109752496,0.784282206,0.702311696,0.599246231,0.965883224
