first_defect,combined_with_defect,max_Et,min_Et,max_k,min_k,min_residual_value_used_in_plot,min_residual_value_used_in_plot_Et,min_residual_value_used_in_plot_k
Au,CuI,1.026845638,0.875838926,0.049121901,0.001,3.892075617,0.966442953,0.004408545
Au,PtI,0.996644295,0.777684564,0.197379486,0.001,3.52862122,0.958892617,0.001913724
Au,PtII,0.20385906,0.151006711,35.50876522,8.054531206,5.245759457,0.173657718,18.5548042
Au,Ti,0.860738255,0.218959732,206.7455838,1.665238757,4.648490354,0.845637584,4.20882699
Au,Zn,0.853187919,0.332214765,0.79310166,0.094005738,1.641415417,0.822986577,0.454692846
CuI,DefectX,0.694630872,0.445469799,1.517777302,0.547337285,1.089364139,0.634228188,0.870156393
CuI,PtI,0.913590604,0.868288591,0.163970266,0.044772022,0.410835683,0.890939597,0.085681272
CuI,Ti,0.853187919,0.838087248,118.529241,2.64739529,1.686974879,0.845637584,5.558613053
CuI,Zn,0.853187919,0.32466443,1.047452236,0.001097156,1.438204005,0.332214765,0.216556124
CuII,DefectX,0.649328859,0.400167785,14.04918097,3.186806576,0.739986514,0.604026846,6.098666701
CuII,Mo,0.687080537,0.181208054,911.4472599,6.098666701,1.491029012,0.332214765,20.35751822
CuII,PtII,0.702181208,0.151006711,911.4472599,2.199286859,9.367675737,0.158557047,1000
CuII,Ti,0.196308725,0.120805369,911.4472599,206.7455838,13.19147787,0.13590604,911.4472599
DefectX,Mo,0.717281879,0.158557047,911.4472599,2.199286859,2.394414038,0.369966443,4.20882699
DefectX,PtII,1.011744966,0.113255034,911.4472599,0.001,14.3391552,0.120805369,1000
DefectX,Ti,0.143456376,0.083053691,911.4472599,248.8703476,12.77665376,0.098154362,757.1721488
DefectX,Zn,0.755033557,0.39261745,2.004533981,0.260679802,4.587401193,0.717281879,0.870156393
Mo,PtII,0.302013423,0.120805369,911.4472599,9.695655616,5.101480636,0.166107383,328.6839697
Mo,Ti,0.256711409,0.113255034,830.7361075,20.35751822,7.911386838,0.166107383,188.4376959
Mo,Zn,0.73238255,0.173657718,395.6538866,3.836123827,1.610775021,0.302013423,12.8050875
PtII,Ti,0.860738255,0.845637584,14.04918097,2.412961183,1.123069077,0.853187919,3.836123827
Ti,Zn,0.853187919,0.218959732,8.054531206,1.149218701,2.860699081,0.241610738,3.836123827
