first_defect,combined_with_defect,max_Et,min_Et,max_k,min_k,min_residual_value_used_in_plot,min_residual_value_used_in_plot_Et,min_residual_value_used_in_plot_k
Au,CuI,1.10989932886,0.00755033557047,911.447259852,0.001,2.30054275901,1.10234899329,0.00132070362274
Au,PtI,0.973993288591,0.860738255034,0.0111424287523,0.001,3.91299293265,0.95889261745,0.001
Au,PtII,0.981543624161,0.135906040268,911.447259852,0.001,5.40559648588,0.96644295302,0.414428548184
Au,Ti,0.883389261745,0.860738255034,911.447259852,6.69118990172,5.61545843729,0.875838926174,29.4984134034
Au,Zn,0.890939597315,0.80033557047,0.658858186151,0.0648754729479,2.47183562417,0.853187919463,0.1639702658
CuI,DefectX,0.913590604027,0.490771812081,3.49642455095,0.001,0.775405880048,0.588926174497,0.954697470329
CuI,PtI,0.913590604027,0.860738255034,0.179900991558,0.0447720223008,1.29938940417,0.890939597315,0.0780939607208
CuI,Ti,0.868288590604,0.845637583893,911.447259852,9.69565561594,1.16785148404,0.860738255034,29.4984134034
CuI,Zn,0.830536912752,0.332214765101,2.9046061216,0.001,1.52680404983,0.80033557047,0.870156393319
CuII,DefectX,0.619127516779,0.415268456376,18.5548042014,9.69565561594,1.02241567839,0.604026845638,15.4141458175
CuII,Mo,1.00419463087,0.347315436242,46.8965548693,0.00304243617677,11.2060302154,0.354865771812,26.8862480665
CuII,PtII,0.626677852349,0.400167785235,22.3353770639,9.69565561594,1.65851742373,0.611577181208,15.4141458175
CuII,Ti,0.400167785235,0.385067114094,29.4984134034,8.83707874361,5.65968198882,0.392617449664,18.5548042014
DefectX,Mo,0.981543624161,0.898489932886,0.136216020355,0.0308981790779,8.08113027037,0.936241610738,0.0591305720499
DefectX,PtII,1.125,0.913590604027,911.447259852,0.001,8.14842687853,1.125,0.00174425805911
DefectX,Ti,1.07214765101,0.0377516778523,911.447259852,0.001,16.5493317512,1.06459731544,0.0648754729479
DefectX,Zn,0.95889261745,0.770134228188,0.0648754729479,0.001,2.49356056247,0.936241610738,0.00120375169802
Mo,PtII,0.286912751678,0.271812080537,46.8965548693,12.8050874968,1.37005019598,0.279362416107,29.4984134034
Mo,Ti,0.279362416107,0.264261744966,51.4528453099,14.0491809684,1.3647669414,0.271812080537,29.4984134034
Mo,Zn,0.286912751678,0.271812080537,51.4528453099,12.8050874968,1.9962216241,0.286912751678,18.5548042014
PtII,Ti,0.868288590604,0.838087248322,629.010243623,8.05453120596,1.11226634819,0.853187919463,8.83707874361
Ti,Zn,0.898489932886,0.838087248322,8.83707874361,2.00453398091,3.87764356211,0.875838926174,2.41296118325
