first_defect,combined_with_defect,max_Et,min_Et,max_k,min_k,min_residual_value_used_in_plot,min_residual_value_used_in_plot_Et,min_residual_value_used_in_plot_k
Au,CuI,1.02684563758,0.95889261745,0.00440854524183,0.001,3.48077561123,1.01929530201,0.001
Au,PtI,0.981543624161,0.853187919463,0.0161455815026,0.001,3.46204695384,0.96644295302,0.001
Au,PtII,0.973993288591,0.135906040268,911.447259852,0.001,5.21374249529,0.143456375839,38.9586614469
Au,Ti,0.898489932886,0.853187919463,911.447259852,2.9046061216,6.85588081666,0.890939597315,9.69565561594
Au,Zn,0.883389261745,0.80033557047,0.722870335095,0.0780939607208,2.2691495137,0.830536912752,0.313793754366
CuI,DefectX,0.656879194631,0.48322147651,1.51777730173,0.498869068584,0.94607785786,0.596476510067,1.047452236
CuI,PtI,0.913590604027,0.860738255034,0.179900991558,0.0447720223008,0.945659271044,0.898489932886,0.07117852651
CuI,Ti,0.868288590604,0.838087248322,16.9117254464,7.34128039707,2.26946084803,0.845637583893,9.69565561594
CuI,Zn,0.830536912752,0.32466442953,1.26087240768,0.001,1.66058319873,0.332214765101,0.237595891284
CuII,DefectX,0.619127516779,0.415268456376,14.0491809684,8.05453120596,1.31918287192,0.422818791946,10.6376485432
CuII,Mo,0.362416107383,0.203859060403,911.447259852,14.0491809684,7.24981920546,0.347315436242,22.3353770639
CuII,PtII,0.626677852349,0.377516778523,26.8862480665,10.6376485432,3.48905857322,0.392617449664,16.9117254464
CuII,Ti,0.664429530201,0.203859060403,911.447259852,5.55861305344,14.371936001,0.203859060403,1000.0
DefectX,Mo,0.196308724832,0.173657718121,911.447259852,476.269037803,6.70880912213,0.16610738255,1000.0
DefectX,PtII,0.996644295302,0.868288590604,0.0161455815026,0.001,12.3566950694,0.989093959732,0.001
DefectX,Ti,1.07214765101,0.0377516778523,911.447259852,0.001,19.7371193884,0.0528523489933,830.736107492
DefectX,Zn,0.96644295302,0.430369127517,2.00453398091,0.001,5.93367709418,0.679530201342,0.954697470329
Mo,PtII,0.294463087248,0.241610738255,81.7996937752,15.4141458175,1.66359591291,0.279362416107,26.8862480665
Mo,Ti,0.279362416107,0.188758389262,226.83219637,16.9117254464,4.92012432004,0.234060402685,67.9539592008
Mo,Zn,0.294463087248,0.264261744966,46.8965548693,16.9117254464,0.964017262919,0.279362416107,29.4984134034
PtII,Ti,0.860738255034,0.838087248322,14.0491809684,5.06638263614,1.44188541711,0.845637583893,8.83707874361
Ti,Zn,0.883389261745,0.211409395973,6.69118990172,0.001,4.72863595835,0.853187919463,2.19928685861
